Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
65,-,-,-,0,-,2,caught,2,v West Indies,Port of Spain,6-Mar-71
67*,-,-,7,0,-,2,not out,4,v West Indies,Port of Spain,6-Mar-71
116,265,-,11,0,-,2,caught,2,v West Indies,Georgetown,19-Mar-71
64*,90,-,-,0,-,2,not out,4,v West Indies,Georgetown,19-Mar-71
1,-,-,0,0,-,2,caught,2,v West Indies,Bridgetown,1-Apr-71
117*,315,-,10,1,-,2,not out,4,v West Indies,Bridgetown,1-Apr-71
124,392,-,11,0,-,2,caught,1,v West Indies,Port of Spain,13-Apr-71
220,529,-,22,0,-,2,bowled,3,v West Indies,Port of Spain,13-Apr-71
4,48,37,0,0,10.81,2,caught,2,v England,Lord's,22-Jul-71
53,123,96,5,0,55.2,2,caught,4,v England,Lord's,22-Jul-71
57,163,129,5,0,44.18,2,caught,2,v England,Manchester,5-Aug-71
24,73,42,3,1,57.14,2,caught,4,v England,Manchester,5-Aug-71
6,49,35,1,0,17.14,1,bowled,2,v England,The Oval,19-Aug-71
0,10,9,0,0,0,1,lbw,4,v England,The Oval,19-Aug-71
12,53,35,1,0,34.28,1,caught,1,v England,Delhi,20-Dec-72
8,60,46,1,0,17.39,1,caught,3,v England,Delhi,20-Dec-72
18,89,71,3,0,25.35,1,caught,1,v England,Kolkata,30-Dec-72
2,3,4,0,0,50,1,lbw,3,v England,Kolkata,30-Dec-72
20,75,67,3,0,29.85,2,caught,2,v England,Chennai,12-Jan-73
0*,11,11,0,0,0,8,not out,4,v England,Chennai,12-Jan-73
69,231,183,10,0,37.7,2,caught,1,v England,Kanpur,25-Jan-73
24,80,46,4,0,52.17,2,caught,3,v England,Kanpur,25-Jan-73
4,33,22,0,0,18.18,2,bowled,1,v England,Mumbai (BS),6-Feb-73
67,160,128,12,0,52.34,2,caught,3,v England,Mumbai (BS),6-Feb-73
101,308,251,8,0,40.23,1,run out,2,v England,Manchester,6-Jun-74
58,163,140,5,0,41.42,1,caught,4,v England,Manchester,6-Jun-74
49,134,104,4,1,47.11,1,caught,2,v England,Lord's,20-Jun-74
5,49,26,0,0,19.23,1,lbw,3,v England,Lord's,20-Jun-74
0,1,1,0,0,0,1,caught,1,v England,Birmingham,4-Jul-74
4,7,8,0,0,50,1,caught,3,v England,Birmingham,4-Jul-74
14,35,-,2,0,-,1,caught,2,v West Indies,Bangalore,22-Nov-74
0,8,-,0,0,-,1,caught,4,v West Indies,Bangalore,22-Nov-74
86,240,-,15,0,-,1,bowled,2,v West Indies,Mumbai,23-Jan-75
8,30,-,1,0,-,1,caught,4,v West Indies,Mumbai,23-Jan-75
116,368,-,15,1,-,1,caught,2,v New Zealand,Auckland,24-Jan-76
35*,62,-,6,1,-,1,not out,4,v New Zealand,Auckland,24-Jan-76
22,-,-,-,0,-,1,caught,1,v New Zealand,Christchurch,5-Feb-76
71,203,-,7,1,-,1,caught,3,v New Zealand,Christchurch,5-Feb-76
22,72,-,-,0,-,1,caught,1,v New Zealand,Wellington,13-Feb-76
absent,-,-,-,-,-,-,-,3,v New Zealand,Wellington,13-Feb-76
37,-,-,-,1,-,1,lbw,1,v West Indies,Bridgetown,10-Mar-76
1,-,-,0,0,-,1,caught,3,v West Indies,Bridgetown,10-Mar-76
156,485,352,13,0,44.31,1,caught,2,v West Indies,Port of Spain,24-Mar-76
26,-,-,-,0,-,1,lbw,2,v West Indies,Port of Spain,7-Apr-76
102,245,-,13,0,-,1,caught,4,v West Indies,Port of Spain,7-Apr-76
66,220,-,9,0,-,1,bowled,1,v West Indies,Kingston,21-Apr-76
2,-,-,0,0,-,1,caught,3,v West Indies,Kingston,21-Apr-76
119,265,-,20,0,-,1,caught,1,v New Zealand,Mumbai,10-Nov-76
14,-,-,-,0,-,1,caught,3,v New Zealand,Mumbai,10-Nov-76
66,195,-,9,0,-,1,bowled,1,v New Zealand,Kanpur,18-Nov-76
15,-,-,-,0,-,1,bowled,3,v New Zealand,Kanpur,18-Nov-76
2,-,-,0,0,-,1,bowled,1,v New Zealand,Chennai,26-Nov-76
43,-,-,6,0,-,1,stumped,3,v New Zealand,Chennai,26-Nov-76
38,200,140,4,0,27.14,1,caught,2,v England,Delhi,17-Dec-76
71,240,215,7,1,33.02,1,caught,3,v England,Delhi,17-Dec-76
0,2,4,0,0,0,1,caught,1,v England,Kolkata,1-Jan-77
18,63,50,3,0,36,1,bowled,3,v England,Kolkata,1-Jan-77
39,239,135,5,0,28.88,1,caught,2,v England,Chennai,14-Jan-77
24,89,66,1,0,36.36,1,caught,4,v England,Chennai,14-Jan-77
4,7,8,1,0,50,1,caught,1,v England,Bangalore,28-Jan-77
50,125,82,9,0,60.97,1,caught,3,v England,Bangalore,28-Jan-77
108,341,219,11,0,49.31,1,caught,1,v England,Mumbai,11-Feb-77
42,130,103,7,0,40.77,1,caught,3,v England,Mumbai,11-Feb-77
3,18,14,0,0,21.42,1,caught,2,v Australia,Brisbane,2-Dec-77
113,320,264,12,0,42.8,1,caught,4,v Australia,Brisbane,2-Dec-77
4,28,33,0,0,12.12,1,caught,1,v Australia,Perth,16-Dec-77
127,271,245,20,0,51.83,1,bowled,3,v Australia,Perth,16-Dec-77
0,12,9,0,0,0,1,caught,1,v Australia,Melbourne,30-Dec-77
118,351,285,12,0,41.4,1,caught,3,v Australia,Melbourne,30-Dec-77
49,144,110,5,0,44.54,1,caught,2,v Australia,Sydney,7-Jan-78
7,24,18,1,0,38.88,1,caught,2,v Australia,Adelaide,28-Jan-78
29,29,54,3,0,53.7,1,caught,4,v Australia,Adelaide,28-Jan-78
89,-,-,-,0,-,1,bowled,2,v Pakistan,Faisalabad,16-Oct-78
8*,-,-,-,0,-,1,not out,4,v Pakistan,Faisalabad,16-Oct-78
5,-,-,-,0,-,1,caught,1,v Pakistan,Lahore,27-Oct-78
