Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
4,2,-,1,0,-,4,caught,1,v India,Bangalore,22-Nov-74
3,5,-,0,0,-,4,caught,3,v India,Bangalore,22-Nov-74
192*,321,-,20,6,-,5,not out,2,v India,Delhi,11-Dec-74
15,-,-,-,0,-,4,run out,2,v India,Kolkata,27-Dec-74
47,88,-,9,0,-,4,bowled,4,v India,Kolkata,27-Dec-74
50,129,-,7,0,-,5,caught,2,v India,Chennai,11-Jan-75
2,10,-,0,0,-,5,caught,4,v India,Chennai,11-Jan-75
1,25,-,0,0,-,6,caught,1,v India,Mumbai,23-Jan-75
39*,30,-,8,0,-,5,not out,3,v India,Mumbai,23-Jan-75
7,-,-,-,0,-,4,bowled,2,v Pakistan,Lahore,15-Feb-75
0,-,-,0,0,-,4,lbw,4,v Pakistan,Lahore,15-Feb-75
10,-,-,-,0,-,4,lbw,2,v Pakistan,Karachi,1-Mar-75
DNB,-,-,-,-,-,-,-,4,v Pakistan,Karachi,1-Mar-75
0,10,3,0,0,0,5,caught,1,v Australia,Brisbane,28-Nov-75
12,17,18,3,0,66.66,7,run out,3,v Australia,Brisbane,28-Nov-75
12,53,37,2,0,32.43,5,caught,2,v Australia,Perth,12-Dec-75
41,85,54,4,0,75.92,5,bowled,1,v Australia,Melbourne,26-Dec-75
36,68,51,5,0,70.58,5,caught,3,v Australia,Melbourne,26-Dec-75
44,96,57,7,0,77.19,5,caught,1,v Australia,Sydney,3-Jan-76
2,20,8,0,0,25,3,caught,3,v Australia,Sydney,3-Jan-76
30,55,38,3,0,78.94,2,caught,2,v Australia,Adelaide,23-Jan-76
101,183,136,17,0,74.26,2,bowled,4,v Australia,Adelaide,23-Jan-76
50,98,54,7,0,92.59,2,caught,2,v Australia,Melbourne,31-Jan-76
98,170,103,14,0,95.14,2,caught,4,v Australia,Melbourne,31-Jan-76
142,285,-,19,1,-,3,caught,2,v India,Bridgetown,10-Mar-76
130,294,203,21,0,64.03,3,bowled,1,v India,Port of Spain,24-Mar-76
20,-,-,-,0,-,4,run out,3,v India,Port of Spain,24-Mar-76
177,341,-,23,2,-,3,caught,1,v India,Port of Spain,7-Apr-76
23,-,-,-,0,-,3,caught,3,v India,Port of Spain,7-Apr-76
64,-,-,-,0,-,3,bowled,2,v India,Kingston,21-Apr-76
DNB,-,-,-,-,-,-,-,4,v India,Kingston,21-Apr-76
232,438,313,31,4,74.12,3,caught,1,v England,Nottingham,3-Jun-76
63,125,84,8,0,75,3,lbw,3,v England,Nottingham,3-Jun-76
4,14,7,0,0,57.14,3,bowled,1,v England,Manchester,8-Jul-76
135,288,261,18,0,51.72,3,lbw,3,v England,Manchester,8-Jul-76
66,92,74,11,0,89.18,3,caught,1,v England,Leeds,22-Jul-76
38,81,63,6,0,60.31,3,bowled,3,v England,Leeds,22-Jul-76
291,472,386,38,0,75.38,3,bowled,1,v England,The Oval,12-Aug-76
DNB,-,-,-,-,-,-,-,3,v England,The Oval,12-Aug-76
32,-,-,-,0,-,3,caught,2,v Pakistan,Bridgetown,18-Feb-77
92,230,-,13,0,-,3,caught,4,v Pakistan,Bridgetown,18-Feb-77
4,-,-,-,0,-,3,bowled,2,v Pakistan,Port of Spain,4-Mar-77
30,-,-,-,0,-,3,bowled,4,v Pakistan,Port of Spain,4-Mar-77
50,-,-,-,0,-,3,lbw,2,v Pakistan,Georgetown,18-Mar-77
DNB,-,-,-,-,-,-,-,4,v Pakistan,Georgetown,18-Mar-77
4,-,-,-,0,-,3,bowled,2,v Pakistan,Port of Spain,1-Apr-77
33,65,-,5,0,-,3,stumped,4,v Pakistan,Port of Spain,1-Apr-77
5,-,-,-,0,-,3,caught,1,v Pakistan,Kingston,15-Apr-77
7,-,-,-,0,-,3,bowled,3,v Pakistan,Kingston,15-Apr-77
39,64,-,5,0,-,3,lbw,2,v Australia,Port of Spain,3-Mar-78
23,23,-,3,1,-,3,caught,2,v Australia,Bridgetown,17-Mar-78
DNB,-,-,-,-,-,-,-,4,v Australia,Bridgetown,17-Mar-78
140,329,259,20,0,54.05,3,caught,2,v Australia,Brisbane,1-Dec-79
DNB,-,-,-,-,-,-,-,4,v Australia,Brisbane,1-Dec-79
96,160,110,9,1,87.27,3,caught,2,v Australia,Melbourne,29-Dec-79
DNB,-,-,-,-,-,-,-,4,v Australia,Melbourne,29-Dec-79
76,105,72,13,0,105.55,3,caught,1,v Australia,Adelaide,26-Jan-80
74,137,105,11,0,70.47,3,bowled,3,v Australia,Adelaide,26-Jan-80
64,154,110,10,0,58.18,3,caught,2,v England,Nottingham,5-Jun-80
48,65,59,8,0,81.35,3,lbw,4,v England,Nottingham,5-Jun-80
145,196,159,25,1,91.19,3,caught,2,v England,Lord's,19-Jun-80
65,91,68,13,0,95.58,3,bowled,2,v England,Manchester,10-Jul-80
26,90,66,3,0,39.39,3,caught,2,v England,The Oval,24-Jul-80
31,65,38,2,1,81.57,3,bowled,2,v England,Leeds,7-Aug-80
75,219,144,6,1,52.08,3,bowled,2,v Pakistan,Lahore,24-Nov-80
72,190,126,4,1,57.14,3,bowled,1,v Pakistan,Faisalabad,8-Dec-80
67,88,76,10,1,88.15,5,caught,3,v Pakistan,Faisalabad,8-Dec-80
18,38,20,2,0,90,3,caught,2,v Pakistan,Karachi,22-Dec-80
120*,417,263,15,0,45.62,3,not out,1,v Pakistan,Multan,30-Dec-80
12,31,27,0,0,44.44,3,caught,3,v Pakistan,Multan,30-Dec-80
29,84,61,4,0,47.54,3,caught,1,v England,Port of Spain,13-Feb-81
0,5,2,0,0,0,3,caught,1,v England,Bridgetown,13-Mar-81
182*,383,256,23,2,71.09,4,not out,3,v England,Bridgetown,13-Mar-81
114,306,226,21,1,50.44,3,caught,2,v England,St John's,27-Mar-81
15,29,22,2,1,68.18,3,caught,2,v England,Kingston,10-Apr-81
2,14,8,0,0,25,4,bowled,2,v Australia,Melbourne,26-Dec-81
0,2,2,0,0,0,3,bowled,4,v Australia,Melbourne,26-Dec-81
44,99,59,6,0,74.57,3,caught,1,v Australia,Sydney,2-Jan-82
22,14,16,4,0,137.5,3,caught,3,v Australia,Sydney,2-Jan-82
42,85,48,6,0,87.5,3,caught,2,v Australia,Adelaide,30-Jan-82
50,109,56,4,0,89.28,3,bowled,4,v Australia,Adelaide,30-Jan-82
29,-,-,-,0,-,3,caught,2,v India,Kingston,23-Feb-83
61,-,36,5,4,169.44,4,caught,4,v India,Kingston,23-Feb-83
1,-,-,0,0,-,3,caught,2,v India,Port of Spain,11-Mar-83
109,255,-,9,2,-,3,caught,1,v India,Georgetown,31-Mar-83
80,153,-,-,1,-,3,caught,2,v India,Bridgetown,15-Apr-83
DNB,-,-,-,-,-,-,-,4,v India,Bridgetown,15-Apr-83
2,-,-,0,0,-,4,caught,2,v India,St John's,28-Apr-83
24,-,-,5,0,-,3,caught,1,v India,Kanpur,21-Oct-83
67,118,70,8,1,95.71,4,lbw,2,v India,Delhi,29-Oct-83
22,-,-,-,0,-,3,caught,4,v India,Delhi,29-Oct-83
8,-,-,-,0,-,3,caught,1,v India,Ahmedabad,12-Nov-83
20,-,-,-,0,-,3,caught,3,v India,Ahmedabad,12-Nov-83
120,263,-,15,1,-,4,stumped,2,v India,Mumbai,24-Nov-83
4,-,-,-,0,-,4,caught,4,v India,Mumbai,24-Nov-83
9,-,-,2,0,-,3,caught,2,v India,Kolkata,10-Dec-83
32,-,-,-,0,-,3,caught,1,v India,Chennai,24-Dec-83
DNB,-,-,-,-,-,-,-,3,v India,Chennai,24-Dec-83
8,47,22,0,0,36.36,4,caught,2,v Australia,Georgetown,2-Mar-84
DNB,-,-,-,-,-,-,-,4,v Australia,Georgetown,2-Mar-84
76,189,188,13,0,40.42,4,caught,2,v Australia,Port of Spain,16-Mar-84
6,31,21,0,0,28.57,4,bowled,2,v Australia,Bridgetown,30-Mar-84
DNB,-,-,-,-,-,-,-,4,v Australia,Bridgetown,30-Mar-84
