Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
28,81,47,4,0,59.57,2,lbw,1,v England,Port Elizabeth,17-Dec-04
14,28,21,2,0,66.66,1,caught,3,v England,Port Elizabeth,17-Dec-04
14,27,21,2,0,66.66,7,caught,2,v England,Durban,26-Dec-04
52*,137,95,9,0,54.73,8,not out,4,v England,Durban,26-Dec-04
21,65,38,2,0,55.26,7,bowled,1,v England,Cape Town,2-Jan-05
10,9,8,2,0,125,8,caught,3,v England,Cape Town,2-Jan-05
19,54,43,3,0,44.18,6,caught,2,v England,Johannesburg,13-Jan-05
3,16,13,0,0,23.07,1,lbw,4,v England,Johannesburg,13-Jan-05
92,258,165,15,0,55.75,1,lbw,1,v England,Centurion,21-Jan-05
109,276,169,11,1,64.49,1,caught,3,v England,Centurion,21-Jan-05
98,182,118,20,0,83.05,2,caught,2,v Zimbabwe,Cape Town,4-Mar-05
47,105,73,7,1,64.38,1,caught,2,v Zimbabwe,Centurion,11-Mar-05
41,72,85,7,0,48.23,2,caught,2,v West Indies,Georgetown,31-Mar-05
20,133,113,2,0,17.69,1,bowled,3,v West Indies,Georgetown,31-Mar-05
33,69,53,4,0,62.26,2,caught,2,v West Indies,Port of Spain,8-Apr-05
62,162,126,8,0,49.2,1,bowled,4,v West Indies,Port of Spain,8-Apr-05
178,551,352,15,1,50.56,2,caught,2,v West Indies,Bridgetown,21-Apr-05
114,251,173,13,1,65.89,1,caught,1,v West Indies,St John's,29-Apr-05
12,5,4,3,0,300,2,caught,3,v West Indies,St John's,29-Apr-05
68,166,109,10,0,62.38,1,bowled,2,v Australia,Perth,16-Dec-05
12,76,57,2,0,21.05,2,caught,4,v Australia,Perth,16-Dec-05
61,178,141,9,0,43.26,1,lbw,2,v Australia,Melbourne,26-Dec-05
8,64,44,1,0,18.18,2,stumped,4,v Australia,Melbourne,26-Dec-05
2,25,18,0,0,11.11,1,caught,1,v Australia,Sydney,2-Jan-06
1,7,4,0,0,25,2,lbw,3,v Australia,Sydney,2-Jan-06
8,39,29,1,0,27.58,2,bowled,1,v Australia,Cape Town,16-Mar-06
7,18,12,1,0,58.33,1,caught,3,v Australia,Cape Town,16-Mar-06
50,175,137,4,0,36.49,2,caught,2,v Australia,Durban,24-Mar-06
46,117,80,7,0,57.5,1,stumped,4,v Australia,Durban,24-Mar-06
12,60,45,1,0,26.66,1,caught,1,v Australia,Johannesburg,31-Mar-06
4,17,15,0,0,26.66,1,bowled,3,v Australia,Johannesburg,31-Mar-06
27,87,62,3,0,43.54,6,bowled,1,v New Zealand,Centurion,15-Apr-06
97,235,161,13,0,60.24,6,caught,3,v New Zealand,Centurion,15-Apr-06
13,29,23,2,0,56.52,6,caught,2,v New Zealand,Cape Town,27-Apr-06
2,15,4,0,0,50,6,caught,2,v New Zealand,Johannesburg,5-May-06
5,11,7,1,0,71.42,6,bowled,4,v New Zealand,Johannesburg,5-May-06
65,97,72,8,0,90.27,6,caught,1,v Sri Lanka,Colombo (SSC),27-Jul-06
24,67,38,3,0,63.15,5,lbw,3,v Sri Lanka,Colombo (SSC),27-Jul-06
95,182,141,18,0,67.37,6,caught,1,v Sri Lanka,Colombo (PSS),4-Aug-06
33,79,63,5,0,52.38,6,caught,3,v Sri Lanka,Colombo (PSS),4-Aug-06
6,23,14,1,0,42.85,6,caught,2,v India,Johannesburg,15-Dec-06
17,63,42,3,0,40.47,6,run out,4,v India,Johannesburg,15-Dec-06
9,64,38,1,0,23.68,2,caught,1,v India,Durban,26-Dec-06
47,143,100,8,0,47,2,caught,3,v India,Durban,26-Dec-06
1,19,13,0,0,7.69,2,caught,2,v India,Cape Town,2-Jan-07
22,44,33,4,0,66.66,1,caught,4,v India,Cape Town,2-Jan-07
4,19,15,0,0,26.66,1,caught,2,v Pakistan,Centurion,11-Jan-07
12,20,15,2,0,80,2,caught,4,v Pakistan,Centurion,11-Jan-07
2,22,14,0,0,14.28,1,caught,1,v Pakistan,Port Elizabeth,19-Jan-07
15,63,51,1,0,29.41,2,bowled,3,v Pakistan,Port Elizabeth,19-Jan-07
11,35,25,1,0,44,6,bowled,2,v Pakistan,Cape Town,26-Jan-07
4*,8,6,0,0,66.66,7,not out,4,v Pakistan,Cape Town,26-Jan-07
77,124,101,7,1,76.23,6,bowled,1,v Pakistan,Karachi,1-Oct-07
1,5,3,0,0,33.33,6,bowled,3,v Pakistan,Karachi,1-Oct-07
45,125,83,2,0,54.21,6,run out,1,v Pakistan,Lahore,8-Oct-07
8*,12,8,1,0,100,6,not out,3,v Pakistan,Lahore,8-Oct-07
33,99,80,6,0,41.25,6,caught,1,v New Zealand,Johannesburg,8-Nov-07
DNB,-,-,-,-,-,-,-,3,v New Zealand,Johannesburg,8-Nov-07
33,71,51,6,0,64.7,6,caught,2,v New Zealand,Centurion,16-Nov-07
59,193,127,9,0,46.45,6,bowled,2,v West Indies,Port Elizabeth,26-Dec-07
60,200,132,6,0,45.45,6,caught,4,v West Indies,Port Elizabeth,26-Dec-07
2,28,17,0,0,11.76,6,caught,2,v West Indies,Cape Town,2-Jan-08
23,40,24,3,0,95.83,2,caught,4,v West Indies,Cape Town,2-Jan-08
103*,160,109,15,1,94.49,6,not out,2,v West Indies,Durban,10-Jan-08
46,90,73,7,1,63.01,7,caught,2,v Bangladesh,Dhaka,22-Feb-08
19*,106,80,2,0,23.75,6,not out,4,v Bangladesh,Dhaka,22-Feb-08
1,8,4,0,0,25,6,bowled,1,v Bangladesh,Chittagong,29-Feb-08
44,66,58,8,0,75.86,6,caught,1,v India,Chennai,26-Mar-08
11,50,41,0,0,26.82,6,caught,3,v India,Chennai,26-Mar-08
217*,480,333,17,2,65.16,6,not out,2,v India,Ahmedabad,3-Apr-08
25,55,45,3,0,55.55,6,caught,1,v India,Kanpur,11-Apr-08
7,22,21,0,0,33.33,6,caught,3,v India,Kanpur,11-Apr-08
42,128,119,5,0,35.29,6,caught,2,v England,Lord's,10-Jul-08
DNB,-,-,-,-,-,-,-,3,v England,Lord's,10-Jul-08
174,517,381,19,0,45.66,6,caught,2,v England,Leeds,18-Jul-08
DNB,-,-,-,-,-,-,-,4,v England,Leeds,18-Jul-08
5,17,17,1,0,29.41,7,caught,2,v England,Birmingham,30-Jul-08
27,97,57,3,0,47.36,6,caught,4,v England,Birmingham,30-Jul-08
39,81,53,8,0,73.58,6,lbw,1,v England,The Oval,7-Aug-08
97,233,170,12,0,57.05,6,bowled,3,v England,The Oval,7-Aug-08
3,17,15,0,0,20,6,caught,1,v Bangladesh,Bloemfontein,19-Nov-08
0,2,2,0,0,0,6,stumped,2,v Bangladesh,Centurion,26-Nov-08
63,144,130,7,1,48.46,5,caught,2,v Australia,Perth,17-Dec-08
106*,276,186,9,0,56.98,5,not out,4,v Australia,Perth,17-Dec-08
7,57,51,0,0,13.72,5,bowled,2,v Australia,Melbourne,26-Dec-08
DNB,-,-,-,-,-,-,-,4,v Australia,Melbourne,26-Dec-08
11,60,52,1,0,21.15,5,run out,2,v Australia,Sydney,3-Jan-09
56,175,144,8,0,38.88,5,bowled,4,v Australia,Sydney,3-Jan-09
104*,285,185,9,1,56.21,5,not out,2,v Australia,Johannesburg,26-Feb-09
3,16,7,0,0,42.85,5,lbw,4,v Australia,Johannesburg,26-Feb-09
3,13,8,0,0,37.5,5,lbw,2,v Australia,Durban,6-Mar-09
84,234,199,9,0,42.21,4,caught,4,v Australia,Durban,6-Mar-09
163,313,196,12,7,83.16,5,caught,2,v Australia,Cape Town,19-Mar-09
32,82,66,5,0,48.48,5,caught,1,v England,Centurion,16-Dec-09
64,136,101,6,1,63.36,6,caught,3,v England,Centurion,16-Dec-09
50,149,98,6,0,51.02,5,caught,1,v England,Durban,26-Dec-09
2,18,15,0,0,13.33,5,lbw,3,v England,Durban,26-Dec-09
36,84,60,4,0,60,5,caught,1,v England,Cape Town,3-Jan-10
34,84,49,3,0,69.38,5,caught,3,v England,Cape Town,3-Jan-10
58,165,119,5,0,48.73,5,caught,2,v England,Johannesburg,14-Jan-10
53,104,88,5,0,60.22,5,caught,1,v India,Nagpur,6-Feb-10
